person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,actual_loan_status,logistic_prob,tree_prob,logistic_pred,tree_pred
25,0,1,84973,2,0,14000,5,5.42,0.16,3,634,1,0,0.023639703959713668,0.25027306488019907,0,0
24,1,1,87280,2,2,16000,1,12.42,0.18,2,610,0,0,0.00020709212828302326,0.0,0,0
22,0,0,70178,0,2,6500,5,7.49,0.09,3,668,0,0,6.2332987157954755e-06,0.0,0,0
27,1,1,176144,1,0,2500,3,8.49,0.01,6,591,0,0,8.274548848772338e-06,0.0,0,0
26,0,1,181548,3,0,10000,0,15.99,0.06,3,643,1,1,0.3656753607687932,0.8321334503950876,0,1
29,1,0,71321,6,3,4800,0,11.49,0.07,7,562,1,1,0.5272901896092198,0.48189588189584603,1,0
22,0,3,79142,0,0,7200,4,8.9,0.09,2,671,1,0,0.042719943512252286,0.25027306488019907,0,0
26,0,0,55138,4,0,5000,5,6.99,0.09,2,625,0,0,4.969525765742241e-06,0.0,0,0
29,1,1,231639,5,0,15000,5,14.27,0.06,6,626,1,0,0.13082980847024755,0.4635761589403981,0,0
26,1,3,61716,1,3,4050,2,7.88,0.07,4,586,1,0,0.19734398882305104,0.25027306488019907,0,0
30,0,0,58573,7,3,4000,4,12.1,0.07,6,632,0,0,5.06404963954742e-05,0.0,0,0
25,1,4,184834,5,0,7500,1,11.71,0.04,3,663,0,0,1.849686489828225e-05,0.0,0,0
35,0,1,204859,9,0,6500,1,7.49,0.03,10,643,1,0,0.024884037521330664,0.25027306488019907,0,0
27,0,4,52462,5,3,10000,4,13.98,0.19,9,666,1,0,0.6005871252181623,0.7734082397003778,1,1
41,1,3,70504,22,0,5200,0,12.87,0.07,11,654,1,0,0.26763889700170773,0.48189588189584603,0,0
28,1,0,96756,9,3,18000,2,10.59,0.19,10,567,1,0,0.46923525855766973,0.25027306488019907,0,0
24,0,1,79037,3,0,9600,4,11.98,0.12,3,689,0,0,1.9145311628985838e-05,0.0,0,0
32,1,4,97267,9,3,6000,5,12.69,0.06,7,545,0,0,9.568896040395649e-05,0.0,0,0
31,1,3,55412,8,3,4000,3,11.98,0.07,8,661,1,0,0.3028590599953713,0.48189588189584603,0,0
23,1,3,32304,0,3,7034,1,12.43,0.22,4,601,0,0,0.0010382194205884176,0.0,0,0
41,0,0,145169,20,0,20000,3,10.25,0.14,11,700,1,0,0.03968576732726643,0.25027306488019907,0,0
28,1,0,228914,1,0,21999,5,6.91,0.1,10,659,0,0,1.4604056291080194e-06,0.0,0,0
25,0,0,37218,1,3,7000,3,10.62,0.19,3,654,1,0,0.500052388404041,0.6225490196078499,1,1
24,0,3,71766,1,3,3000,3,10.77,0.04,4,579,1,1,0.21237911789116776,0.25027306488019907,0,0
21,1,3,62428,1,3,4000,1,6.17,0.06,4,496,0,0,3.262360703110762e-05,0.0,0,0
29,0,1,111433,4,0,10000,3,9.63,0.09,9,633,1,0,0.06074026678705356,0.25027306488019907,0,0
22,1,3,143946,0,3,12000,0,10.36,0.08,2,566,0,0,7.277137405033156e-05,0.0,0,0
25,1,0,59777,1,3,9600,1,7.51,0.16,2,584,1,1,0.3758764867110867,0.25027306488019907,0,0
27,1,3,41147,1,3,6000,4,14.91,0.15,5,664,1,1,0.7392389118279609,0.9388794567062748,1,1
29,0,1,58700,5,0,7800,2,11.46,0.13,7,625,0,0,4.555641363983802e-05,0.0,0,0
30,0,1,41601,11,3,1500,0,14.61,0.04,5,603,1,1,0.5764598655404818,0.9388794567062748,1,1
23,0,3,33602,1,3,10000,3,11.01,0.3,2,612,1,1,0.8432848627850372,1.0,1,1
27,1,4,42914,2,2,4197,3,10.6,0.1,5,591,1,0,0.3596623333212464,0.25027306488019907,0,0
27,0,1,54246,3,3,3398,1,11.37,0.06,7,655,0,0,4.902291329790867e-05,0.0,0,0
23,1,1,91027,0,3,7000,4,6.0,0.08,3,697,0,0,5.839216807732158e-06,0.0,0,0
36,1,3,114962,12,3,7375,5,8.94,0.06,15,626,1,0,0.07963841181896862,0.25027306488019907,0,0
25,1,0,46447,0,0,10000,2,8.49,0.22,3,514,0,0,0.00017026532076672024,0.0,0,0
24,1,0,101615,0,0,10000,0,8.57,0.1,4,655,0,0,1.6198916209151058e-05,0.0,0,0
23,0,1,27032,4,3,6000,5,13.47,0.22,3,645,0,0,0.00041680311875669826,0.0,0,0
23,0,3,73044,0,3,22000,0,10.25,0.3,4,640,1,1,0.6620545706214411,1.0,1,1
34,0,1,61083,13,0,7500,4,11.43,0.12,9,626,0,0,2.6460584980109465e-05,0.0,0,0
28,1,2,109091,6,0,15000,3,7.88,0.14,6,653,0,0,8.634302154927312e-06,0.0,0,0
22,0,1,49222,0,3,10000,1,11.01,0.2,2,680,0,0,0.00016291878229181118,0.0,0,0
26,0,3,51139,1,3,11400,1,7.66,0.22,3,515,0,0,0.00020523757138643587,0.0,0,0
27,0,0,60928,3,0,7500,4,10.99,0.12,3,569,0,0,4.02840896208341e-05,0.0,0,0
31,0,1,53998,7,3,12000,0,17.27,0.22,7,607,1,1,0.9484619874866821,0.9388794567062748,1,1
36,1,3,74986,11,0,20000,1,11.8,0.27,11,587,1,0,0.6537821889414205,0.4617196702002318,1,0
24,0,3,71559,0,3,3200,3,13.8,0.04,3,648,1,1,0.3217753376977156,0.7734082397003778,0,1
28,1,4,39761,8,3,4900,3,14.12,0.12,7,684,1,1,0.5698325105517944,0.7734082397003778,1,1
27,0,1,43155,7,0,9000,3,11.4,0.21,5,637,1,0,0.3934315665772696,0.48189588189584603,0,0
24,1,3,62421,2,0,3600,2,7.14,0.06,2,685,0,0,5.744137998841744e-06,0.0,0,0
23,1,3,69181,2,3,7500,1,11.97,0.11,4,684,0,0,9.81969968130458e-05,0.0,0,0
28,0,0,91539,7,0,3000,5,8.31,0.03,7,607,1,0,0.02589908545803267,0.25027306488019907,0,0
24,1,1,51525,3,3,15000,5,11.58,0.29,4,596,1,1,0.7986793876276487,1.0,1,1
30,0,3,73229,11,0,2500,0,12.69,0.03,7,582,0,0,4.198222053646278e-05,0.0,0,0
27,1,0,74305,8,3,5000,5,9.54,0.07,6,603,0,0,2.6479056263819628e-05,0.0,0,0
22,1,1,61090,0,3,7200,0,11.01,0.12,4,600,0,0,0.00017853351117965411,0.0,0,0
25,0,0,67298,5,0,8000,1,9.24,0.12,5,624,0,0,2.0796011093756737e-05,0.0,0,0
31,1,1,94540,13,3,10000,1,14.27,0.11,10,709,1,1,0.4573748260221056,0.7734082397003778,0,1
26,0,0,32639,6,3,4000,1,7.9,0.12,2,683,0,0,2.9817237537300975e-05,0.0,0,0
24,0,1,57171,4,3,14000,5,7.98,0.24,4,601,0,0,6.248358176768899e-05,0.0,0,0
26,0,4,55056,3,3,11000,4,14.61,0.2,2,721,1,0,0.6220471965692002,0.9388794567062748,1,1
29,0,4,33092,7,3,2725,1,9.63,0.08,6,670,1,0,0.19121012606189336,0.6225490196078499,0,1
30,1,0,47755,3,3,2400,0,10.99,0.05,7,663,1,0,0.32736128544505144,0.25027306488019907,0,0
23,1,4,81864,1,3,20000,3,16.94,0.24,3,686,1,1,0.8513666156499791,0.9388794567062748,1,1
22,1,1,30959,2,3,3000,1,12.69,0.1,3,709,0,0,0.00013284557737858272,0.0,0,0
33,1,3,70425,14,3,5000,5,7.51,0.07,7,607,0,0,1.3182459667463559e-05,0.0,0,0
32,1,1,143979,9,0,9000,3,13.47,0.06,7,676,0,0,2.584755091924002e-05,0.0,0,0
26,1,0,67115,0,3,6000,0,7.11,0.09,4,518,0,0,7.012630038321568e-05,0.0,0,0
26,0,0,64542,0,0,21000,0,10.63,0.33,5,563,0,0,0.00044402161343441786,0.0,0,0
23,1,1,90726,2,3,10000,5,6.54,0.11,4,584,0,0,1.395974165449834e-05,0.0,0,0
23,1,3,45598,0,0,3600,3,15.62,0.08,4,626,1,1,0.5099306050549146,0.8321334503950876,1,1
43,1,4,104075,18,0,2200,5,11.01,0.02,16,664,1,0,0.052209602418638326,0.48189588189584603,0,0
31,0,3,72963,12,3,4750,2,8.47,0.07,7,603,1,0,0.1284021600602645,0.25027306488019907,0,0
24,0,3,43833,5,3,8000,4,12.12,0.18,4,658,1,1,0.4792809422396084,0.48189588189584603,0,0
27,0,0,81679,8,3,8000,4,6.03,0.1,5,675,0,0,5.2148517311985904e-06,0.0,0,0
31,0,1,39461,8,2,12375,5,9.91,0.31,7,552,1,0,0.7383779988610719,0.4617196702002318,1,0
34,0,3,36969,12,3,4000,4,7.51,0.11,7,640,1,0,0.1106286524081856,0.6225490196078499,0,1
25,1,3,31480,1,3,2000,5,9.91,0.06,4,584,1,0,0.2295323654685437,0.6225490196078499,0,1
32,0,3,54919,8,0,2100,0,6.99,0.04,10,588,1,0,0.05089340576910224,0.25027306488019907,0,0
39,0,0,96952,16,2,5000,3,11.22,0.05,13,662,1,0,0.10716706872934245,0.48189588189584603,0,0
33,1,4,49154,7,3,4200,3,8.99,0.09,7,675,0,0,3.111010628094259e-05,0.0,0,0
31,0,4,40761,8,3,1000,3,14.61,0.02,11,623,0,0,7.865514188621313e-05,0.0,0,0
31,1,0,116814,10,3,20000,2,10.95,0.17,9,629,0,0,6.63019149908171e-05,0.0,0,0
38,1,0,25270,11,2,6250,4,11.01,0.25,12,624,0,0,0.0004367841946603177,0.0,0,0
26,1,1,72773,0,0,1800,4,12.13,0.02,3,695,1,0,0.09124348359579859,0.48189588189584603,0,0
22,1,1,35572,0,3,9000,3,10.99,0.25,2,709,1,1,0.6787778214427528,0.9879879879879879,1,1
22,1,0,63425,0,3,12000,1,13.58,0.19,3,672,1,0,0.7374524892860403,0.48189588189584603,1,0
37,1,3,108958,12,3,12000,2,7.51,0.11,11,653,0,0,1.6450585328841365e-05,0.0,0,0
25,0,0,40975,1,3,3235,5,7.03,0.08,4,568,1,0,0.09960466769199881,0.6225490196078499,0,1
23,1,3,85101,3,3,12000,1,7.9,0.14,2,668,1,0,0.17594376106659737,0.25027306488019907,0,0
28,1,1,59279,5,3,15000,4,12.87,0.25,8,627,1,1,0.7600070356414775,0.8998646820027069,1,1
23,0,4,46963,0,3,2000,5,8.89,0.04,3,590,0,0,1.5567487199994305e-05,0.0,0,0
27,1,1,48964,4,3,6500,5,8.4,0.13,4,600,0,0,4.395414578658294e-05,0.0,0,0
24,1,1,48724,0,0,7094,1,14.41,0.15,5,608,0,0,0.00032212950513042294,0.0,0,0
25,1,4,103093,1,3,15000,5,8.19,0.15,4,652,0,0,1.8920711898127455e-05,0.0,0,0
24,1,4,37026,1,3,4000,5,5.99,0.11,2,629,0,0,1.5506897224601903e-05,0.0,0,0
27,0,3,173641,1,0,11000,0,8.9,0.06,6,683,1,0,0.03753265870202089,0.25027306488019907,0,0
23,1,3,61262,0,3,3000,1,11.01,0.05,2,569,0,0,0.00010583705999927231,0.0,0,0
27,1,1,91865,3,0,4000,0,9.32,0.04,9,690,0,0,1.0376112219687356e-05,0.0,0,0
22,1,0,27969,0,0,4800,0,10.0,0.17,4,644,0,0,0.00010918944332080838,0.0,0,0
25,1,3,130905,1,3,8000,0,16.77,0.06,3,666,1,1,0.6989355693176613,0.9388794567062748,1,1
33,1,3,144768,14,0,8947,4,9.67,0.06,7,637,0,0,7.489210639507184e-06,0.0,0,0
26,1,0,127092,4,2,4800,2,11.71,0.04,4,619,1,0,0.24050622337293615,0.48189588189584603,0,0
28,0,0,39498,7,3,12000,0,14.26,0.3,10,707,1,1,0.9038262334038313,1.0,1,1
29,0,1,102919,4,0,7500,5,11.49,0.07,10,620,1,0,0.0787870790548209,0.48189588189584603,0,0
28,0,0,169340,3,3,25000,2,13.11,0.15,7,675,1,0,0.2142205300883315,0.48189588189584603,0,0
27,0,3,127069,7,0,5000,4,13.64,0.04,7,560,0,0,3.370129371769688e-05,0.0,0,0
28,1,2,48851,8,3,6500,3,10.74,0.13,6,647,0,0,8.450240300753511e-05,0.0,0,0
29,1,1,51644,7,2,2500,3,6.76,0.05,5,621,0,0,1.020712934721607e-05,0.0,0,0
26,1,1,140055,6,0,5000,5,11.01,0.04,3,653,1,1,0.06633182879975087,0.48189588189584603,0,0
23,1,0,61061,1,0,4000,4,11.86,0.07,3,637,0,0,2.9684343886350998e-05,0.0,0,0
35,0,1,40861,11,3,7600,5,15.27,0.19,6,624,1,0,0.7922726499027306,0.9388794567062748,1,1
40,0,3,106514,19,0,8000,3,9.37,0.08,11,640,1,0,0.05064943162694594,0.25027306488019907,0,0
24,1,0,80687,3,3,25000,1,12.75,0.31,5,564,1,1,0.8833492469953952,1.0,1,1
27,1,1,132985,6,0,5000,1,12.32,0.04,3,597,0,0,4.4675599365171455e-05,0.0,0,0
40,0,0,55937,17,0,10000,2,7.9,0.18,14,550,1,0,0.19354866234495108,0.25027306488019907,0,0
30,1,0,28387,9,3,3250,5,14.11,0.11,7,646,1,0,0.5645566258823232,0.7734082397003778,1,1
29,0,1,106706,5,0,15000,0,13.85,0.14,6,593,1,0,0.43205542037804945,0.4635761589403981,0,0
22,1,3,51510,0,0,2500,4,6.91,0.05,3,480,0,0,1.3927258816557965e-05,0.0,0,0
23,0,1,50109,0,3,6885,2,8.71,0.14,4,671,1,1,0.2059422039421201,0.25027306488019907,0,0
30,0,1,118633,8,0,20000,3,14.59,0.17,8,650,1,1,0.27318030098568463,0.8321334503950876,0,1
27,1,0,79376,5,0,10000,5,12.42,0.13,6,645,0,0,3.888954468558097e-05,0.0,0,0
27,0,1,66035,4,3,10000,0,15.95,0.15,9,697,1,1,0.7215723707491933,0.9388794567062748,1,1
24,1,1,105196,5,0,7489,0,11.19,0.07,4,695,0,0,2.0989080342298053e-05,0.0,0,0
32,1,0,45869,9,3,1148,0,9.39,0.03,10,668,0,0,2.8761604452961036e-05,0.0,0,0
30,0,3,44123,6,3,13000,3,13.61,0.29,8,598,1,1,0.8974310647415876,1.0,1,1
24,0,3,50202,3,3,10000,1,6.99,0.2,4,597,0,0,7.067714316529253e-05,0.0,0,0
23,1,3,36869,0,3,6000,1,14.22,0.16,3,639,0,0,0.0006874423290707238,0.0,0,0
31,0,3,56555,7,3,10000,3,7.51,0.18,7,653,1,0,0.1843209557895828,0.25027306488019907,0,0
33,0,4,83586,9,3,7000,5,8.0,0.08,10,542,1,0,0.1056723384855151,0.25027306488019907,0,0
33,0,1,150927,12,3,9100,4,7.88,0.06,8,658,0,0,5.690127742020191e-06,0.0,0,0
31,1,0,38255,9,3,2473,1,8.25,0.06,8,676,1,0,0.13346070333009222,0.6225490196078499,0,1
21,1,1,22366,0,2,6250,5,10.62,0.28,4,637,1,1,0.7527861851375268,1.0,1,1
33,0,1,66926,11,0,8000,2,11.14,0.12,9,658,0,0,2.610948593038234e-05,0.0,0,0
21,1,3,51397,2,3,1000,4,15.58,0.02,4,649,1,1,0.43907211150758957,0.9388794567062748,0,1
23,0,1,114961,1,3,20000,0,14.59,0.17,2,654,1,1,0.58959586991694,0.9388794567062748,1,1
22,0,0,74600,2,3,10000,1,14.22,0.13,2,620,1,0,0.6305548552550679,0.7734082397003778,1,1
23,1,0,67644,1,3,12300,5,11.01,0.18,4,577,0,0,0.0001447318932352017,0.0,0,0
44,0,0,229542,26,0,8000,4,13.16,0.03,15,648,1,0,0.06339043901880412,0.48189588189584603,0,0
29,0,4,43203,5,3,12000,3,11.58,0.28,10,600,1,1,0.7976036457873089,1.0,1,1
23,0,4,55276,3,3,12000,4,11.83,0.22,4,703,1,0,0.44219847785220723,0.48189588189584603,0,0
26,1,1,97887,4,0,9600,2,11.01,0.1,3,580,1,0,0.2335234781345996,0.48189588189584603,0,0
26,1,0,79035,3,3,4800,2,13.68,0.06,2,655,0,0,0.0001253301596022174,0.0,0,0
30,1,0,28108,6,3,12000,5,7.29,0.43,5,571,1,1,0.9232338165983652,1.0,1,1
24,0,1,85978,3,0,5000,1,10.39,0.06,2,631,1,1,0.10765275156165842,0.25027306488019907,0,0
28,1,4,30926,4,3,10934,1,10.49,0.35,9,753,1,1,0.8547689307780957,1.0,1,1
23,0,1,79253,0,0,9000,3,14.79,0.11,4,594,0,0,9.888722513614157e-05,0.0,0,0
22,1,3,145016,0,0,22000,3,7.49,0.15,3,572,0,0,8.642038709910438e-06,0.0,0,0
23,1,4,83836,0,0,15000,2,14.96,0.18,4,628,1,1,0.6060368798529409,0.8321334503950876,1,1
26,0,1,76926,8,0,3500,3,7.68,0.05,4,633,0,0,4.53468771808031e-06,0.0,0,0
28,0,1,67070,4,3,5000,5,12.53,0.07,5,643,1,0,0.23273202939345447,0.48189588189584603,0,0
29,0,4,51668,6,3,10000,2,15.21,0.19,7,597,1,1,0.8425084480245786,0.9388794567062748,1,1
42,0,4,53351,20,3,6000,0,9.63,0.11,14,705,1,0,0.18494194061415906,0.25027306488019907,0,0
23,0,0,68223,1,0,15000,4,11.26,0.22,2,607,1,1,0.33161872879066945,0.48189588189584603,0,0
